"countryCode","regionCode","accentedName","plainName"
"AR",2,"Catamarca","Catamarca"
"AS",50,"Western District","Western District"
"AS",40,"Swains Island","Swains Island"
"AS",10,"Eastern District","Eastern District"
"AS",20,"Manu'a","Manu'a"
"AS",30,"Rose Island","Rose Island"
"AT",9,"Vienna","Vienna"
"AT",8,"Vorarlberg","Vorarlberg"
"AT",7,"Tyrol","Tyrol"
"AT",6,"Styria","Styria"
"AT",5,"Salzburg","Salzburg"
"AT",4,"Upper Austria","Upper Austria"
"AT",3,"Lower Austria","Lower Austria"
"AT",2,"Carinthia","Carinthia"
"AT",1,"Burgenland","Burgenland"
"AU",8,"Western Australia","Western Australia"
"AU",5,"South Australia","South Australia"
"AU",3,"Northern Territory","Northern Territory"
"AU",7,"Victoria","Victoria"
"AU",6,"Tasmania","Tasmania"
"AU",4,"Queensland","Queensland"
"AU",2,"New South Wales","New South Wales"
"AU",1,"ACT","ACT"
"AX",211,"Mariehamns stad","Mariehamns stad"
"AX",212,"Ålands landsbygd","Alands landsbygd"
"AX",213,"Ålands skärgård","Alands skaergard"
"AZ",12,"Beyləqan","Beylaqan"
"AZ",69,"Zǝngilan","Zangilan Rayon"
"AZ",66,"Yardımlı","Yardimli"
"AZ",55,"Şuşa","Susa"
"AZ",49,"Salyan","Salyan"
"AZ",46,"Sabirabad","Sabirabad"
"AZ",45,"Saatlı","Saatli"
"AZ",13,"Bilǝsuvar","Bilasuvar Rayon"
"AZ",36,"Neftçala","Neftcala"
"AZ",35,"Nakhichevan","Nakhichevan"
"AZ",32,"Masally","Masally"
"AZ",31,"Lerik","Lerik"
"AZ",29,"Lənkəran","Lankaran"
"AZ",28,"Laçın","Lacin"
"AZ",43,"Qubadlı","Qubadli"
"AZ",24,"İmişli","Imisli"
"AZ",18,"Füzuli","Fuezuli"
"AZ",14,"Jabrayil","Jabrayil"
"AZ",15,"Jalilabad","Jalilabad"
"AZ",8,"Astara","Astara"
"AZ",64,"Xocalı","Xocali"
"AZ",2,"Ağcabǝdi","Aghjabadi Rayon"
"AZ",3,"Ağdam","Agdam"
"AZ",7,"Shirvan","Shirvan"
"AZ",30,"Lankaran Sahari","Lankaran Sahari"
"AZ",56,"Şuşa Şəhəri","Shusha"
"AZ",57,"Tǝrtǝr","Tartar Rayon"
"AZ",61,"Xankǝndi","Xankandi Sahari"
"AZ",65,"Khojavend","Khojavend"
"AZ",71,"Zərdab","Zardab"
"AZ",70,"Zaqatala","Zaqatala"
"AZ",67,"Yevlax","Yevlax"
"AZ",37,"Oğuz","Oguz"
"AZ",59,"Ucar","Ucar"
"AZ",58,"Tovuz","Tovuz"
"AZ",50,"Şamaxı","Samaxi"
"AZ",47,"Şǝki","Shaki Rayon"
"AZ",51,"Şǝmkir","Shamkir Rayon"
"AZ",27,"Kürdǝmir","Kurdamir Rayon"
"AZ",38,"Qǝbǝlǝ","Qabala Rayon"
"AZ",44,"Qusar","Qusar"
"AZ",42,"Quba","Quba"
"AZ",62,"Goygol Rayon","Goygol Rayon"
"AZ",60,"Xaçmaz","Xacmaz"
"AZ",26,"Kalbajar","Kalbajar"
"AZ",40,"Qazax","Qazax"
"AZ",21,"Goranboy","Goranboy"
"AZ",39,"Qǝx","Qakh Rayon"
"AZ",25,"İsmayıllı","Ismayilli"
"AZ",22,"Göyçay","Goeycay"
"AZ",17,"Shabran","Shabran"
"AZ",16,"Daşkǝsǝn","Dashkasan Rayon"
"AZ",10,"Balakǝn","Balakan Rayon"
"AZ",11,"Bǝrdǝ","Barda Rayon"
"AZ",9,"Baki","Baki"
"AZ",1,"Abşeron","Abseron"
"AZ",6,"Ağsu","Agsu"
"AZ",4,"Ağdaş","Agdas"
"AZ",19,"Gǝdǝbǝy","Gadabay Rayon"
"AZ",5,"Ağstafa","Agstafa"
"AZ",20,"Gǝncǝ","Ganja City"
"AZ",33,"Mingǝcevir","Mingacevir City"
"AZ",34,"Naftalan","Naftalan"
"AZ",41,"Qobustan","Qobustan"
"AZ",52,"Samux","Samux"
"AZ",48,"Shaki City","Shaki City"
"AZ",53,"Siyǝzǝn","Siazan Rayon"
"AZ",54,"Sumqayit","Sumqayit"
"AZ",63,"Xızı","Xizi"
"AZ",68,"Yevlax City","Yevlax City"
"AZ",23,"Hacıqabul","Haciqabul"
"AZ",75,"Nakhchivan","Nakhchivan"
"BA",1,"Federation of B&H","Federation of B&H"
"BA",2,"Srspka","Srspka"
"BA","BRC","Brčko","Brcko"
"BB",11,"Saint Thomas","Saint Thomas"
"BB",10,"Saint Philip","Saint Philip"
"BB",9,"Saint Peter","Saint Peter"
"BB",8,"Saint Michael","Saint Michael"
"BB",7,"Saint Lucy","Saint Lucy"
"BB",6,"Saint Joseph","Saint Joseph"
"BB",5,"Saint John","Saint John"
"BB",4,"Saint James","Saint James"
"BB",3,"Saint George","Saint George"
"BB",2,"Saint Andrew","Saint Andrew"
"BB",1,"Christ Church","Christ Church"
"BD",83,"Rajshahi Division","Rajshahi Division"
"BD",81,"Dhaka","Dhaka"
"BD",84,"Chittagong","Chittagong"
"BD",82,"Khulna","Khulna"
"BD",85,"Barisāl","Barisal"
"BD",86,"Sylhet","Sylhet"
"BD",87,"Rangpur Division","Rangpur Division"
"BD","H","Mymensingh Division","Mymensingh Division"
"BE","BRU","Brussels Capital","Brussels Capital"
"BE","WAL","Wallonia","Wallonia"
"BE","VLG","Flanders","Flanders"
"BF",1,"Boucle du Mouhoun","Boucle du Mouhoun"
"BF",2,"Cascades","Cascades"
"BF",3,"Centre","Centre"
"BF",4,"Centre-Est","Centre-Est"
"BF",5,"Centre-Nord","Centre-Nord"
"BF",6,"Centre-Ouest","Centre-Ouest"
"BF",7,"Centre-Sud","Centre-Sud"
"BF",8,"Est","Est"
"BF",9,"Hauts-Bassins","Hauts-Bassins"
"BF",10,"Nord","Nord"
"BF",11,"Plateau-Central","Plateau-Central"
"BF",12,"Sahel","Sahel"
"BF",13,"Sud-Ouest","Sud-Ouest"
"BG",52,"Razgrad","Razgrad"
"BG",47,"Montana","Montana"
"BG",64,"Vratsa","Vratsa"
"BG",61,"Varna","Varna"
"BG",40,"Dobrich","Dobrich"
"BG",58,"Sofia","Sofia"
"BG",53,"Ruse","Ruse"
"BG",51,"Plovdiv","Plovdiv"
"BG",50,"Pleven","Pleven"
"BG",49,"Pernik","Pernik"
"BG",48,"Pazardzhik","Pazardzhik"
"BG",46,"Lovech","Lovech"
"BG",43,"Khaskovo","Khaskovo"
"BG",42,"Sofia-Capital","Sofia-Capital"
"BG",39,"Burgas","Burgas"
"BG",38,"Blagoevgrad","Blagoevgrad"
"BG",41,"Gabrovo","Gabrovo"
"BG",44,"Kŭrdzhali","Kurdzhali"
"BG",45,"Kyustendil","Kyustendil"
"BG",54,"Shumen","Shumen"
"BG",55,"Silistra","Silistra"
"BG",56,"Sliven","Sliven"
"BG",57,"Smolyan","Smolyan"
"BG",59,"Stara Zagora","Stara Zagora"
"BG",60,"Tŭrgovishte","Turgovishte"
"BG",62,"Veliko Tŭrnovo","Veliko Turnovo"
"BG",63,"Vidin","Vidin"
"BG",65,"Yambol","Yambol"
"BH",15,"Muharraq","Muharraq"
"BH",16,"Manama","Manama"
"BH",17,"Southern Governorate","Southern Governorate"
"BH",19,"Northern","Northern"
"BI",17,"Makamba","Makamba"
"BI",10,"Bururi","Bururi"
"BI",22,"Muramvya","Muramvya"
"BI",13,"Gitega","Gitega"
"BI",21,"Ruyigi","Ruyigi"
"BI",11,"Cankuzo","Cankuzo"
"BI",14,"Karuzi","Karuzi"
"BI",9,"Bubanza","Bubanza"
"BI",12,"Cibitoke","Cibitoke"
"BI",19,"Ngozi","Ngozi"
"BI",15,"Kayanza","Kayanza"
"BI",18,"Muyinga","Muyinga"
"BI",16,"Kirundo","Kirundo"
"BI",20,"Rutana","Rutana"
"BI",23,"Mwaro","Mwaro"
"BI",24,"Bujumbura Mairie","Bujumbura Mairie"
"BI",25,"Bujumbura Rural","Bujumbura Rural"
"BI",26,"Rumonge","Rumonge"
"BJ",18,"Zou","Zou"
"BJ",16,"Ouémé","Oueme"
"BJ",15,"Mono","Mono"
"BJ",10,"Borgou","Borgou"
"BJ",9,"Atlantique","Atlantique"
"BJ",8,"Atakora","Atakora"
"BJ",7,"Alibori","Alibori"
"BJ",11,"Collines","Collines"
"BJ",12,"Kouffo","Kouffo"
"BJ",13,"Donga","Donga"
"BJ",14,"Littoral","Littoral"
"BJ",17,"Plateau","Plateau"
"BM",11,"Warwick","Warwick"
"BM",10,"Southampton","Southampton"
"BM",9,"Smithʼs","Smith's Parish"
"BM",8,"Sandys","Sandys"
"BM",7,"Saint Georgeʼs","Saint George's Parish"
"BM",6,"Saint George","Saint George"
"BM",5,"Pembroke","Pembroke"
"BM",4,"Paget","Paget"
"BM",2,"Hamilton","Hamilton"
"BM",3,"Hamilton city","Hamilton city"
"BM",1,"Devonshire","Devonshire"
"BN",4,"Tutong","Tutong"
"BN",3,"Temburong","Temburong"
"BN",2,"Brunei and Muara","Brunei and Muara"
"BN",1,"Belait","Belait"
"BO",9,"Tarija","Tarija"
"BO",8,"Santa Cruz","Santa Cruz"
"BO",7,"Potosí","Potosi"
"BO",6,"Pando","Pando"
"BO",5,"Oruro","Oruro"
"BO",4,"La Paz","La Paz"
"BO",2,"Cochabamba","Cochabamba"
"BO",1,"Chuquisaca","Chuquisaca"
"BO",3,"El Beni","El Beni"
"BQ","BO","Bonaire","Bonaire"
"BQ","SB","Saba","Saba"
"BQ","SE","Sint Eustatius","Sint Eustatius"
"BR",22,"Rio Grande do Norte","Rio Grande do Norte"
"BR",20,"Piauí","Piaui"
"BR",30,"Pernambuco","Pernambuco"
"BR",17,"Paraíba","Paraiba"
"BR",16,"Pará","Para"
"BR",13,"Maranhão","Maranhao"
"BR",6,"Ceará","Ceara"
"BR",3,"Amapá","Amapa"
"BR",2,"Alagoas","Alagoas"
"BR",28,"Sergipe","Sergipe"
"BR",27,"São Paulo","Sao Paulo"
"BR",26,"Santa Catarina","Santa Catarina"
"BR",23,"Rio Grande do Sul","Rio Grande do Sul"
"BR",21,"Rio de Janeiro","Rio de Janeiro"
"BR",18,"Paraná","Parana"
"BR",15,"Minas Gerais","Minas Gerais"
"BR",11,"Mato Grosso do Sul","Mato Grosso do Sul"
"BR",14,"Mato Grosso","Mato Grosso"
"BR",29,"Goiás","Goias"
"BR",7,"Federal District","Federal District"
"BR",8,"Espírito Santo","Espirito Santo"
"BR",5,"Bahia","Bahia"
"BR",31,"Tocantins","Tocantins"
"BR",25,"Roraima","Roraima"
"BR",4,"Amazonas","Amazonas"
"BR",1,"Acre","Acre"
"BR",24,"Rondônia","Rondonia"
"BS",35,"San Salvador","San Salvador"
"BS",18,"Ragged Island","Ragged Island"
"BS",32,"Berry Islands","Berry Islands"
"BS",23,"New Providence","New Providence"
"BS",16,"Mayaguana","Mayaguana"
"BS",15,"Long Island","Long Island"
"BS",13,"Inagua","Inagua"
"BS",22,"Harbour Island","Harbour Island"
"BS",25,"Freeport","Freeport"
"BS",10,"Exuma","Exuma"
"BS",6,"Cat Island","Cat Island"
"BS",5,"Bimini","Bimini"
"BS",24,"Acklins","Acklins"
"BS",36,"Black Point","Black Point"
"BS",37,"Central Abaco","Central Abaco"
"BS",38,"Central Andros","Central Andros"
"BS",39,"Central Eleuthera","Central Eleuthera"
"BS",40,"Crooked Island and Long Cay","Crooked Island and Long Cay"
"BS",41,"East Grand Bahama","East Grand Bahama"
"BS",42,"Grand Cay","Grand Cay"
"BS",43,"Hope Town","Hope Town"
"BS",44,"Mangrove Cay","Mangrove Cay"
"BS",45,"Moore’s Island","Moore's Island"
"BS",46,"North Abaco","North Abaco"
"BS",47,"North Andros","North Andros"
"BS",48,"North Eleuthera","North Eleuthera"
"BS",49,"Rum Cay","Rum Cay"
"BS",50,"South Abaco","South Abaco"
"BS",51,"South Andros","South Andros"
"BS",52,"South Eleuthera","South Eleuthera"
"BS",53,"Spanish Wells","Spanish Wells"
"BS",54,"West Grand Bahama","West Grand Bahama"
"BT",5,"Bumthang","Bumthang"
"BT",6,"Chukha","Chukha"
"BT",8,"Dagana","Dagana"
"BT",7,"Chirang","Chirang"
"BT",9,"Geylegphug","Geylegphug"
"BT",10,"Haa","Haa"
"BT",11,"Lhuntse","Lhuntse"
"BT",12,"Mongar","Mongar"
"BT",13,"Paro","Paro"
"BT",14,"Pemagatshel","Pemagatshel"
"BT",15,"Punakha","Punakha"
"BT",16,"Samchi","Samchi"
"BT",17,"Samdrup Jongkhar","Samdrup Jongkhar"
"BT",18,"Shemgang","Shemgang"
"BT",19,"Tashigang","Tashigang"
"BT",20,"Thimphu","Thimphu"
"BT",21,"Tongsa","Tongsa"
"BT",22,"Wangdi Phodrang","Wangdi Phodrang"
"BT",23,"Gasa","Gasa"
"BT",24,"Trashi Yangste","Trashi Yangste"
"BW",10,"Ngwaketsi","Ngwaketsi"
"BW",9,"South-East","South-East"
"BW",8,"North-East","North-East"
"BW",11,"North-West","North-West"
"BW",6,"Kweneng","Kweneng"
"BW",5,"Kgatleng","Kgatleng"
"BW",4,"Kgalagadi","Kgalagadi"
"BW",3,"Ghanzi","Ghanzi"
"BW",12,"Chobe","Chobe"
"BW",1,"Central","Central"
"BW",13,"City of Francistown","City of Francistown"
"BW",14,"Gaborone","Gaborone"
"BW",15,"Jwaneng","Jwaneng"
"BW",16,"Lobatse","Lobatse"
"BW",17,"Selibe Phikwe","Selibe Phikwe"
"BW",18,"Sowa Town","Sowa Town"
"BY",7,"Vitebsk","Vitebsk"
"BY",6,"Mogilev","Mogilev"
"BY",5,"Minsk","Minsk"
"BY",4,"Minsk City","Minsk City"
"BY",3,"Grodnenskaya","Grodnenskaya"
"BY",2,"Gomel","Gomel"
"BY",1,"Brest","Brest"
"BZ",6,"Toledo","Toledo"
"BZ",5,"Stann Creek","Stann Creek"
"BZ",4,"Orange Walk","Orange Walk"
"BZ",3,"Corozal","Corozal"
"BZ",2,"Cayo","Cayo"
"BZ",1,"Belize","Belize"
"CA",1,"Alberta","Alberta"
"CA",2,"British Columbia","British Columbia"
"CA",3,"Manitoba","Manitoba"
"CA",4,"New Brunswick","New Brunswick"
"CA",13,"Northwest Territories","Northwest Territories"
"CA",7,"Nova Scotia","Nova Scotia"
"CA",14,"Nunavut","Nunavut"
"CA",8,"Ontario","Ontario"
"CA",9,"Prince Edward Island","Prince Edward Island"
"CA",10,"Quebec","Quebec"
"CA",11,"Saskatchewan","Saskatchewan"
"CA",12,"Yukon","Yukon"
"CA",5,"Newfoundland and Labrador","Newfoundland and Labrador"
"CD",31,"Tshuapa","Tshuapa"
"CD",30,"Tshopo","Tshopo"
"CD",29,"Tanganika","Tanganika"
"CD",12,"South Kivu","South Kivu"
"CD",27,"Sankuru","Sankuru"
"CD",11,"Nord Kivu","Nord Kivu"
"CD",25,"Mongala","Mongala"
"CD",10,"Maniema","Maniema"
"CD",23,"Kasaï-Central","Kasai-Central"
"CD",4,"Kasaï-Oriental","Kasai-Oriental"
"CD",18,"Kasai","Kasai"
"CD",17,"Ituri","Ituri"
"CD",16,"Haut Uele","Haut Uele"
"CD",15,"Haut-Lomani","Haut-Lomani"
"CD",2,"Équateur","Equateur"
"CD",13,"Bas Uele","Bas Uele"
"CD",22,"Lualaba","Lualaba"
"CD",24,"Mai Ndombe","Mai Ndombe"
"CD",20,"Kwilu","Kwilu"
"CD",19,"Kwango","Kwango"
"CD",6,"Kinshasa","Kinshasa"
"CD",8,"Bas-Congo","Bas-Congo"
"CD",14,"Haut-Katanga","Haut-Katanga"
"CD",21,"Lomami","Lomami"
"CD",26,"Nord-Ubangi","Nord-Ubangi"
"CD",28,"Sud-Ubangi","Sud-Ubangi"
"CF",14,"Vakaga","Vakaga"
"CF",11,"Ouaka","Ouaka"
"CF",8,"Mbomou","Mbomou"
"CF",5,"Haut-Mbomou","Haut-Mbomou"
"CF",3,"Haute-Kotto","Haute-Kotto"
"CF",2,"Basse-Kotto","Basse-Kotto"
"CF",1,"Bamingui-Bangoran","Bamingui-Bangoran"
"CF",16,"Sangha-Mbaéré","Sangha-Mbaere"
"CF",13,"Ouham-Pendé","Ouham-Pende"
"CF",12,"Ouham","Ouham"
"CF",17,"Ombella-M'Poko","Ombella-M'Poko"
"CF",9,"Nana-Mambéré","Nana-Mambere"
"CF",7,"Lobaye","Lobaye"
"CF",6,"Kémo","Kemo"
"CF",4,"Mambéré-Kadéï","Mambere-Kadei"
"CF",15,"Nana-Grébizi","Nana-Grebizi"
"CF",18,"Bangui","Bangui"
"CG",10,"Sangha","Sangha"
"CG",11,"Pool","Pool"
"CG",8,"Plateaux","Plateaux"
"CG",7,"Niari","Niari"
"CG",6,"Likouala","Likouala"
"CG",5,"Lékoumou","Lekoumou"
"CG",4,"Kouilou","Kouilou"
"CG",13,"Cuvette","Cuvette"
"CG",1,"Bouenza","Bouenza"
"CG",12,"Brazzaville","Brazzaville"
"CG",14,"Cuvette-Ouest","Cuvette-Ouest"
"CG",7280295,"Pointe-Noire","Pointe-Noire"
"CH","ZH","Zurich","Zurich"
"CH","ZG","Zug","Zug"
"CH","VD","Vaud","Vaud"
"CH","VS","Valais","Valais"
"CH","UR","Uri","Uri"
"CH","TI","Ticino","Ticino"
"CH","TG","Thurgau","Thurgau"
"CH","SO","Solothurn","Solothurn"
"CH","SZ","Schwyz","Schwyz"
"CH","SH","Schaffhausen","Schaffhausen"
"CH","SG","Saint Gallen","Saint Gallen"
"CH","OW","Obwalden","Obwalden"
"CH","NW","Nidwalden","Nidwalden"
"CH","NE","Neuchâtel","Neuchatel"
"CH","LU","Lucerne","Lucerne"
"CH","JU","Jura","Jura"
"CH","GR","Grisons","Grisons"
"CH","GL","Glarus","Glarus"
"CH","GE","Geneva","Geneva"
"CH","FR","Fribourg","Fribourg"
"CH","BE","Bern","Bern"
"CH","BS","Basel-City","Basel-City"
"CH","BL","Basel-Landschaft","Basel-Landschaft"
"CH","AR","Appenzell Ausserrhoden","Appenzell Ausserrhoden"
"CH","AI","Appenzell Innerrhoden","Appenzell Innerrhoden"
"CH","AG","Aargau","Aargau"
"CI",98,"Yamoussoukro Autonomous District","Yamoussoukro Autonomous District"
"CI",76,"Bas-Sassandra","Bas-Sassandra"
"CI",94,"Comoé","Comoe"
"CI",77,"Denguélé","Denguele"
"CI",95,"Gôh-Djiboua","Goh-Djiboua"
"CI",81,"Lacs","Lacs"
"CI",82,"Lagunes","Lagunes"
"CI",78,"Montagnes","Montagnes"
"CI",96,"Sassandra-Marahoué","Sassandra-Marahoue"
"CI",87,"Savanes","Savanes"
"CI",90,"Vallée du Bandama","Vallee du Bandama"
"CI",97,"Woroba","Woroba"
"CI",92,"Zanzan","Zanzan"
"CI",93,"Abidjan","Abidjan"
"CK",11695124,"Aitutaki","Aitutaki"
"CK",11695126,"Atiu","Atiu"
"CK",11695127,"Mangaia","Mangaia"
"CK",11695384,"Manihiki","Manihiki"
"CK",11695385,"Ma'uke","Ma'uke"
"CK",11695386,"Mitiaro","Mitiaro"
"CK",11695387,"Palmerston","Palmerston"
"CK",11695388,"Penrhyn","Penrhyn"
"CK",11695389,"Pukapuka","Pukapuka"
"CK",11695390,"Rakahanga","Rakahanga"
"CK",11695425,"Rarotonga","Rarotonga"
"CL",1,"Valparaíso","Valparaiso"
"CL",15,"Tarapacá","Tarapaca"
"CL",12,"Santiago Metropolitan","Santiago Metropolitan"
"CL",11,"Maule Region","Maule Region"
"CL",14,"Los Lagos Region","Los Lagos Region"
"CL",8,"O'Higgins Region","O'Higgins Region"
"CL",7,"Coquimbo Region","Coquimbo Region"
"CL",6,"Biobío","Biobio"
"CL",5,"Atacama","Atacama"
"CL",4,"Araucanía","Araucania"
"CL",3,"Antofagasta","Antofagasta"
"CL",2,"Aysén","Aysen"
"CL",10,"Region of Magallanes","Region of Magallanes"
"CL",16,"Arica y Parinacota","Arica y Parinacota"
"CL",17,"Los Ríos Region","Los Rios Region"
"CM",9,"South-West","South-West"
"CM",14,"South","South"
"CM",8,"West","West"
"CM",7,"North-West","North-West"
"CM",13,"North","North"
"CM",5,"Littoral","Littoral"
"CM",12,"Far North","Far North"
"CM",4,"East","East"
"CM",11,"Centre","Centre"
"CM",10,"Adamaoua","Adamaoua"
"CN",14,"Tibet","Tibet"
"CN",6,"Qinghai","Qinghai"
"CN",13,"Xinjiang","Xinjiang"
"CN",2,"Zhejiang","Zhejiang"
"CN",29,"Yunnan","Yunnan"
"CN",28,"Tianjin","Tianjin"
"CN",32,"Sichuan","Sichuan"
"CN",24,"Shanxi","Shanxi"
"CN",23,"Shanghai","Shanghai"
"CN",25,"Shandong","Shandong"
"CN",26,"Shaanxi","Shaanxi"
"CN",21,"Ningsia Hui Autonomous Region","Ningsia Hui Autonomous Region"
"CN",3,"Jiangxi","Jiangxi"
"CN",4,"Jiangsu","Jiangsu"
"CN",11,"Hunan","Hunan"
"CN",12,"Hubei","Hubei"
"CN",9,"Henan","Henan"
"CN",10,"Hebei","Hebei"
"CN",31,"Hainan","Hainan"
"CN",18,"Guizhou","Guizhou"
"CN",16,"Guangxi","Guangxi"
"CN",30,"Guangdong","Guangdong"
"CN",15,"Gansu","Gansu"
"CN",7,"Fujian","Fujian"
"CN",33,"Chongqing","Chongqing"
"CN",1,"Anhui","Anhui"
"CN",20,"Inner Mongolia","Inner Mongolia"
"CN",19,"Liaoning","Liaoning"
"CN",5,"Jilin","Jilin"
"CN",8,"Heilongjiang","Heilongjiang"
"CN",22,"Beijing","Beijing"
"CO",31,"Vichada","Vichada"
"CO",30,"Vaupés","Vaupes"
"CO",29,"Valle del Cauca","Valle del Cauca"
"CO",28,"Tolima","Tolima"
"CO",27,"Sucre","Sucre"
"CO",26,"Santander","Santander"
"CO",25,"San Andres y Providencia","San Andres y Providencia"
"CO",24,"Risaralda","Risaralda"
"CO",23,"Quindío","Quindio"
"CO",22,"Putumayo","Putumayo"
"CO",21,"Norte de Santander","Norte de Santander"
"CO",20,"Nariño","Narino"
"CO",19,"Meta","Meta"
"CO",38,"Magdalena","Magdalena"
"CO",17,"La Guajira","La Guajira"
"CO",16,"Huila","Huila"
"CO",14,"Guaviare","Guaviare"
"CO",15,"Guainía","Guainia"
"CO",33,"Cundinamarca","Cundinamarca"
"CO",12,"Córdoba","Cordoba"
